"I","Administração (Bacharelado)"
"II","Agronomia (Bacharelado)"
"I","Arquitetura e Urbanismo (Bacharelado)"
"I","Artes Cênicas - Interpretação Teatral (Bacharelado)"
"I","Artes Visuais (Bacharelado)*"
"I","Biblioteconomia (Bacharelado)"
"I","Biotecnologia (Bacharelado)"
"II","Ciência da Computação (Bacharelado)"
"II","Ciência Política (Bacharelado)"
"I","Ciências Biológicas (Bacharelado)"
"II","Ciências Contábeis (Bacharelado)"
"I","Ciências Econômicas (Bacharelado)"
"I","Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciatura)"
"I","Comunicação Social – Audiovisual (Bacharelado)"
"I","Comunicação Social - Publicidade e Propaganda (Bacharelado)"
"I","Design – Programação Visual/Projeto do Produto (Bacharelado)"
"I","Direito (Bacharelado)"
"I","Educação Física (Bacharelado)"
"II","Educação Física (Licenciatura)"
"II","Enfermagem (Bacharelado)"
"II","Engenharia Ambiental (Bacharelado)"
"II","Engenharia Civil (Bacharelado)"
"II","Engenharia de Computação (Bacharelado)"
"II","Engenharia de Redes de Comunicação (Bacharelado)"
"II","Engenharia Elétrica (Bacharelado)"
"II","Engenharia Florestal (Bacharelado)"
"II","Engenharia Mecânica (Bacharelado)"
"II","Engenharia Mecatrônica – Controle e Automação (Bacharelado)"
"II","Engenharia Química (Bacharelado)"
"II","Estatística (Bacharelado)"
"II","Farmácia (Bacharelado)"
"II","Filosofia (Bacharelado/Licenciatura)"
"I","Física (Bacharelado)"
"II","Geofísica (Bacharelado)"
"II","Geografia (Bacharelado/Licenciatura)"
"I","Geologia (Bacharelado)"
"II","História (Bacharelado/Licenciatura)"
"I","Jornalismo (Bacharelado)"
"I","Letras – Tradução – Francês (Bacharelado)"
"I","Letras – Tradução – Inglês (Bacharelado)"
"I","Letras – Português do Brasil como Segunda Língua (Licenciatura)"
"I","Licenciatura em Artes Cênicas*"
"I","Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura)"
"I","Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)"
"I","Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)"
"I","Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)"
"I","Matemática (Bacharelado/Licenciatura)"
"II","Medicina (Bacharelado)"
"II","Medicina Veterinária (Bacharelado)"
"II","Museologia (Bacharelado)"
"I","Música (Bacharelado)*"
"I","Música (Licenciatura)*"
"I","Nutrição (Bacharelado)"
"II","Odontologia (Bacharelado)"
"II","Pedagogia (Licenciatura)"
"I","Psicologia (Bacharelado / Licenciatura / Psicólogo)"
"II","Química (Bacharelado)"
"II","Química Tecnológica (Bacharelado)"
"II","Relações Internacionais (Bacharelado)"
"I","Serviço Social (Bacharelado)"
"I","Turismo (Bacharelado)"
"I","Administração (Bacharelado)"
"I","Arquitetura e Urbanismo (Bacharelado)"
"I","Arquivologia (Bacharelado)"
"I","Ciências Ambientais (Bacharelado)"
"I","Ciências Contábeis (Bacharelado)"
"II","Computação (Licenciatura)"
"I","Comunicação Organizacional (Bacharelado)"
"I","Direito (Bacharelado)"
"II","Engenharia de Produção (Bacharelado)"
"II","Farmácia (Bacharelado)"
"I","Filosofia (Licenciatura)"
"I","Gestão de Agronegócio (Bacharelado)"
"I","Gestão de Políticas Públicas (Bacharelado)"
"I","História (Licenciatura)"
"I","Letras – Tradução Espanhol (Bacharelado)"
"I","Licenciatura em Artes Cênicas (*)"
"II","Licenciatura em Ciências Biológicas"
"II","Licenciatura em Física"
"II","Licenciatura em Matemática"
"I","Licenciatura em Música*"
"II","Licenciatura em Química"
"I","Língua e Literatura Japonesa (Licenciatura)"
"I","Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)"
"I","Língua Portuguesa e Respectiva Literatura (Licenciatura)"
"I","Pedagogia (Licenciatura)"
"II","Saúde Coletiva (Bacharelado)"
"I","Serviço Social (Bacharelado)"
"I","Teoria, Crítica e História da Arte (Bacharelado)"
"II","Enfermagem (Bacharelado)"
"II","Farmácia (Bacharelado)"
"II","Fisioterapia (Bacharelado)"
"II","Fonoaudiologia (Bacharelado)"
"II","Saúde Coletiva (Bacharelado)"
"II","Terapia Ocupacional (Bacharelado)"
"II","Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**"
"I","Ciências Naturais (Licenciatura)"
"I","Gestão do Agronegócio (Bacharelado)"
"I","Ciências Naturais (Licenciatura)"
"I","Gestão Ambiental (Bacharelado)"
